Nombre Completo,Institución de Adscripción,Área del Conocimiento
DRA. QUINTERO HERNANDEZ VERONICA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. TRUJILLO HERNANDEZ ANGELICA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. MONTIEL SMITH MARIA CONCEPCION SARA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. MENDOZA MARTINEZ ANGEL GABRIEL,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. MORAN RAYA CAROLINA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. HERNANDEZ LINARES MARIA GUADALUPE,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. SOSA RIVADENEYRA MARTHA VIRGINIA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. AMADOR RAMIREZ MARIA PATRICIA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
M. EN C. REYES SANDOVAL ARTURO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. OREA FLORES MARIA LAURA ASUNCION,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. ROSAS MURRIETA NORA HILDA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. MARTINEZ CONTRERAS REBECA DEBORA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. ANDRES HERNANDEZ AGUSTINA ROSA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. CERON RIVERA MARGARITA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. CRUZ GREGORIO SILVANO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. GALICIA ISASMENDI SALVADOR,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. MEZA LEON ROSA LUISA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
M. EN C. HERNANDEZ TELLEZ MARIA GUADALUPE SILVIA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. FIGUEROA CASTRO DULCE MARIA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. ROCHA GRACIA ROSA DEL CARMEN,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. TORRES JACOME JULIAN,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. MARIN CEVADA VIANEY,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. SANSINENEA ROYANO ESTIBALIZ,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. CAMARILLO JIMENEZ ELSA ADRIANA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. SANDOVAL RUIZ CESAR ANTONIO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. MERINO MONTIEL PENELOPE,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. SANCHEZ GAYTAN BRENDA LEONOR,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. PASTELIN ROJAS CESAR FELICIANO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. PEREZ AGUILAR JOSE MANUEL,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. LOZANO ZARAIN PATRICIA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. GUEVARA FIORE PALESTINA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. CEPEDA CORNEJO VERONICA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. MILFLORES FLORES LORENA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. APARICIO SOLANO DAVID MIGUEL,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. TAPIA LOPEZ JESUS ANGEL,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. MORALES LARA LAURA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. RAMIREZ BRAVO OSVALDO ERIC,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. PEREZ PEREZ ROSA EMILIA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. CAMACHO ABREGO ISRAEL,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. GOMEZ CALVARIO VICTOR,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. JEREZANO DOMINGUEZ ALBERTO VINICIO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. JIMENEZ HERNANDEZ JACQUELINE,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. VAZQUEZ LIMA HUGO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. RIVAS ARANCIBIA SOMBRA PATRICIA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. ROMERO LOPEZ ANABEL,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. CABALLERO JIMENEZ DOLORES JUDITH,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. ORNELAS DAVILA OMAR,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. SALDAÑA VAZQUEZ ROMEO ALBERTO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. HERNANDEZ ANZALDO SAMUEL,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. ISLAS NAVARRETE ANGEL ADONAI,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. GORDILLO GUERRA PAOLA GUADALUPE,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DR. MOLINA MARTINEZ ARCANGEL,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. HANDAL SILVA ANABELLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área II: BIOLOGÍA Y QUÍMICA
DRA. BACA sin apellido Materno BEATRIZ EUGENIA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. FUENTES RAMIREZ LUIS ERNESTO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. VAZQUEZ CRUZ CANDELARIO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. ARAGON GARCIA AGUSTIN,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. TORRES RAMIREZ EDUARDO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. REYES LOPEZ DELFINO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. RIVERA TAPIA JOSE ANTONIO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. MUÑOZ ROJAS JESUS,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. LOPEZ OLGUIN JESUS FRANCISCO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. PEREZ SATO MARCOS,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. JIMENEZ GARCIA DANIEL,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. VILLARREAL ESPINO BARROS OSCAR AGUSTIN,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. MENDOZA HERNANDEZ JOSE CARLOS,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. AVILA SOSA SANCHEZ RAUL,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. VILLA MANCERA ABEL EDMUNDO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. ROMERO LOPEZ ANGEL ALONSO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. ROMERO ARENAS OMAR,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. BAEZ ROGELIO ANTONINO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. RAMIREZ MATA ALBERTO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. REYES MATAMOROS JENARO MELQUIADES,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. OCHOA VELASCO CARLOS ENRIQUE,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. LUNA GUEVARA JUAN JOSE,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. MORALES GARCIA YOLANDA ELIZABETH,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. CORONA JIMENEZ EDITH,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. HERNANDEZ CARRANZA PAOLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. PEREZ TORRES BETZABETH CECILIA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. LOPEZ REYES LUCIA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. REBOLLAR PEREZ GEORGETTE,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. REYNOSO PALOMAR ALEJANDRO RODOLFO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. MENDEZ PALACIOS NESTOR,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. AVELINO FLORES MARIA DEL CARMEN GUADALUP,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. ANDRADE HOYOS PETRA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. BATALLA MAYORAL JESSICA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. MARTINEZ MORENO DAVID,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. CID PEREZ TERESA SOLEDAD,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. ZUÑIGA SILVA JOSE ROBERTO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. LARA CORTES ESTRELLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. RIVERA URBALEJO AMERICA PAULINA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. HERNANDEZ DOMINGUEZ CARMELA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. RUEDA LUNA ROLANDO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. ALONSO HERRERO JOSE ANTONIO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR. SANCHEZ VAZQUEZ RAFAEL,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR. CARRILLO HUERTA MARIO MIGUEL,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR. KENT SERNA ROLLIN LINSLEY,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR. GRAJALES Y PORRAS AGUSTIN GUILLERMO JUAN CO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DRA. MARRONI sin apellido Materno MARIA DA GLORIA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR. ARELLANES JIMENEZ PAULINO ERNESTO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR. FLORES GONZALEZ SERGIO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR. ESTAY REYNO JAIME EDUARDO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR. FIGUEROA IBARRA CARLOS ALBERTO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR. LORA CAM JORGE VICTOR ROMULO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR. SANCHEZ DAZA GERMAN,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR. CANSINO ORTIZ CESAR RICARDO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR. HERNANDEZ ORNELAS PEDRO FELIX,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR. TISCHLER VISQUERRA SERGIO VLADIMIR,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR. HOLLOWAY sin apellido Materno JOHN PATRICK,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR. NETZAHUALCOYOTZI LUNA RAUL,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DRA. MARTINEZ DE ITA MARIA EUGENIA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR. RIVERA DE LA ROSA JOSE DE JESUS,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
DR. PEREZ MENDOZA JOSE SALVADOR ESTEBAN,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Área V: CIENCIAS SOCIALES
