artist.name,terms,release.name
Moss,future jazz,Never Be Scared / Don't Be A Hero
Pery Ribeiro,bossa nova,S'Wonderful Movie'n Bossa
Soular,breakbeat,Time and Space
Dimmu Borgir,black metal,Death ... Is just the beginning Vol.4
Public Image Ltd,dance rock,Live In Tokyo
Gary Moore,blues-rock,Dark Days In Paradise
Pascal Sangla,french pop,Une petite pause
The B-52's,dance rock,The B52's
Dakis,greek,Moments
Sex Pistols,punk,Punk International
Chris Brown,r&b,Forever
Deekline & Wizard,breakbeat,Breaks_ Beats & Blondes
Daniela DessA!,opera,Reiki - Spiritual Fitness_ Relaxation and Chakra Meditation
Hem,folk-pop,Peace At Last - EP
Lily Allen,ska,Alright_ Still (Deluxe)
Pentangle,british invasion,Light Flight - The Anthology
DJ Dips,turnablism,This DJ
Ana Bekuta,pop folk,Zlatni hitovi '90 1
Jason Miles,jazz fusion,Miles To Miles
Busdriver,alternative hip hop,RoadKillOvercoat
Byther Smith,chicago blues,Addressing The Nation With The Blues
Bebo & Cigala,latin jazz,Lagrimas Negras
Bizarre Inc,breakbeat,Surprise
Bongzilla,stoner metal,Apogee
The Gone Jackals,blues-rock,Bone To Pick
The Willis Brothers,western swing,Strictly Trucking
Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,latin jazz,Music Of The Brazilian Masters
S.U.P,doom metal,To Live Alone
Boogie Pimps,hard house,PeeBoy EP
Brian Keane,world beat,The Way West
Aberdeen,twee pop,Suburban
The Killers,rock,Hitzone 49
Gloriana,teen pop,Il meglio di Gloriana
Butterfly Temple,doom metal,Za Solntsem Vsled
Grant Geissman,smooth jazz,Time Will Tell
20/20,power pop,4 Day Tornado
JosA(c) Augusto,latin pop,Ao Vivo
Orbital,techno,The Altogether
Bone Thugs-N-Harmony / Akon,gangster rap,Strength & Loyalty
Moonsorrow,viking metal,Kivenkantaja
N.W.A.,gangster rap,Straight Outta Compton
Rage Against The Machine,rap metal,Live at the Grand Olympic Auditorium
Jazz Gillum,chicago blues,Take One More Chance With Me
Rise Against,hardcore punk,Revolutions Per Minute
Ultraviolence,gabba,Psycho Drama
Korn,rap metal,Issues
Sir Neville Marriner,requiem,Britten: Orchestral Works
Agnes,europop,I Need You Now
James Horner,rock,Aliens - The Deluxe Edition
Tantric,post-grunge,Mind Control
Mastodon,alternative metal,Call of the Mastodon
Xcultures,gabba,One World One People
The Irish Tenors,irish folk,Live From Dublin
U2,dance rock,Window In The Skies
Little Joe,soul jazz,Nuestra TradiciA3n
Korn,rap metal,Untitled
Blind Blake & The Royal Victoria Hotel Calypsos,country blues,Bahamian Songs
Percy Faith,instrumental pop,A Jerome Kern Songbook
Extreme,funk metal,Extreme
Alexandre Desplat,soundtrack,L'enquAate corse - bof
Prozak,rap,Tales From The Sick
Jerry Butler,chicago soul,Jerry Butler Selected Hits Vol. 4
Yvette Horner,chanson,L'essentiel 2003
Delta 9,gabba,No Regrets
Placebo,british pop,Sleeping With Ghosts
Tam Tam Go!,pop rock,Miscelanea
Gertrudis,big beat,500
Warrior King,roots reggae,Virtuous Woman
Soda Stereo,rock,De Musica Ligera
LORE,trip hop,My Soul Speaks
Soul Asylum,hard rock,Candy From A Stranger
Carl Doy with NZSO,progressive house,Music For Christmas Lovers
Horace Andy,roots reggae,Exclusively
Jimmy Wakely,classic country,Country Masters Vol 1
The Nightraver & The Magican,gabba,Ultimate Happy Hardcore 3
Rah Digga (Featuring Outsidaz),hip hop,Dirty Harriet
RUN-DMC,hip hop,Run DMC
Bert Kaempfert And His Orchestra,orchestra,Love That Bert Kaempfert
Hank Locklin,honky tonk,Please Help Me I'm Fallin'
Lady May,hip hop,Pink Chokolate!
Nightwish,sympho black metal,Made In Hong Kong (And In Various Other Places)
Angelo Badalamenti,chill-out,Blue Velvet
Frank Chacksfield,orchestra,Windsor Strings
Cesar Camargo Mariano/Helio Delmiro,latin jazz,Samambaia
Buzzhorn,post-grunge,Disconnected
Silverstein,post-hardcore,Discovering The Waterfront
!!!,dance-punk,Myth Takes
The Secret Life of Teenage Girls,grindcore,The Last Living American Marxists
The Notorious B.I.G.,gangster rap,Greatest Hits
Led Zeppelin,blues-rock,Coda
Sandi Thom,british pop,The Pink & The Lily
Carl Belew,rockabilly,20 Greatest Hits
The Field Mice,twee pop,Coastal
Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,hard bop,Once More
Catherine Howe,chill-out,Harry / Silent Mother Nature
Malkit Singh,broken beat,Hai Shava
Rodney O & Joe Cooley,miami bass,Get Ready To Roll
Dean Martin,vocal,Love From&The Rat Pack
Strata,post-grunge,STRATA
James Darren,brill building pop,Love Among The Young
Till West & DJ Delicious,funky house,Ministry of Sound Presents 100
Carlos NuA+-ez,flamenco,Cinema Do Mar
Igor Stravinsky,ballet,Essential Igor Stravinsky
Gene Clark,country rock,Echoes
Maysa,brazilian pop music,Talento
The Shirelles,doo-wop,Dreamboats & Petticoats 2
The American Boychoir,j pop,Voices of Angles - Christmas Favorites from the American Boychoir
JDS,happy hardcore,Cream Trance Anthems Ibiza 2009
Panic At The Disco,pop punk,Northern Downpour
Jan Howard,classic country,Love Is A Sometimes Thing
Abraham Laboriel,jazz,Guidum
"MichA""le Arnaud",chanson,Disque PathA(c)
Sticky Fingaz,hip hop,Oh My God
Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge,bel canto,A Classic Christmas
The Jeff Healey Band,blues-rock,Road House
Angela Dimitriou,pop folk,Thisia Live
Danny Wilson,british pop,Bebop Moptop
Lionel Rogg,early music,Bach: Organ Works Vol.2
Java,musette,Dance Tribute to Lady Gaga Vs Black Eyed Peas
SWAMI featuring Asuivre,downtempo,EQUALIZE
The Black Velvet Band,irish folk,King Of Myself
Lisa Lynne,chill-out,Seasons Of The Soul
Pe'z,argentine rock,Realive Tour 2002 -Odoranya Son Son- in Tokyo
Shawn Colvin,country rock,Steady On
Stephy Tang,cantonese pop,Music Cafe
Casual,hip hop,The Building
Backstreet Boys,teen pop,Just Want You To Know
Tiny Tim,cabaret,Live! At The Royal Albert Hall
Kenny G featuring Daryl Hall,instrumental pop,At Last... The Duets Album
Christos Dantis,pop rock,Daktilika Apotipomata
David Martin,screamo,A Christian Christmas Celebration (Gift of Love)
John Davis,jazz fusion,Leave Home
Trafik,progressive house,Salt In NYC
Nick Ingman;Gavyn Wright,jazz funk,Shakespeare in Love - Music from the Miramax Motion Picture
Eddie Calvert,cool jazz,Oh Mein Papa
Glad,ccm,Simply Glad
Steel Rain,country rock,Trial and Error
Los Manolos,flamenco,Rumbas Sin Fronte Ras
Gloriana,teen pop,Il meglio di Gloriana
Bombay Rockers,bhangra,Wild Rose
Jinx,breakbeat,Kutt Free
Chase & Status,breakbeat,Ten Tonne EP
Tom Petty,heartland rock,Wildflowers
Montserrat CaballA(c);Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti,symphonic rock,Puccini: Highlights From La Boheme
Pucho & His Latin Soul Brothers,latin jazz,Mucho Pucho
Soul Mekanik,tech house,Get Your Head Stuck On Your Neck
Mitch Ryder,blues-rock,American Legend
Blingtones,turnablism,Sonneries tyroliennes
Luna Orbit Project,club,Northern Blue
Danilo Perez,latin jazz,. . . Till Then
Line Renaud,chanson,Platinum Line Renaud
King Curtis,instrumental rock,Live At Fillmore West [w/bonus tracks]
Sophie B. Hawkins,ballad,Whaler
Lupe Fiasco,hip hop,Lupe Fiasco's The Cool
Wilks,hip hop,Tears
Marc Shaiman,soundtrack,The Bucket List
40 Grit,nu metal,Nothing To Remember
Gwen Stefani,rock,Love Angel Music Baby
Steve Morse,blues-rock,Major Impacts
Bitter End,stoner metal,Harsh Realities
Ethel Merman,vaudeville,Gypsy (Original Broadway Cast)
Leon Russell & New Grass Revival,blues-rock,New Grass Revival With Leon Russell Live
Story Of The Year,screamo,Live In The Lou
Natural Elements,hip hop,Lyricist Lounge Vol. 1
Lisa Lynne,chill-out,Daughters Of the Celtic Moon: A Windham Hill Collection featuring Lisa Lynne
Neil Sedaka,brill building pop,Love Songs
Maurice Larcange,chanson,Joue Legrand & Becaud
A Static Lullaby,post-hardcore,Rattlesnake!
John Wesley_ John Wesley,disco,Chasing Monsters
Coph Nia,dark ambient,That Which Remains
Tabu feat. Mitzib,cumbia,Ain't No Love (Ain't No Use)
Nights Like These,doom metal,The Faithless
Oasis,british pop,Stop The Clocks
John Davis & Emma Doyle,jazz fusion,Santa Claus Is Coming To Town
Stew,cabaret,Something Deeper Than These Changes
Jauida,male vocalist,Ocean
Eddy Arnold,honky tonk,Number Ones
All Time Low,pop punk,So Wrong_ It's Right
Brian Dullaghan,irish folk,Songs For A Wedding - 18 Songs For That Special Day
Richard Galliano,tango,French Touch
Regina Belle,vocal jazz,Passion
Debbie Davies,blues-rock,Round Every Corner
STEVE CAMP,ccm,The Definitive Collection
Jay Tee & Baby Bash,hard house,The Camp Is Back
The Stolen Minks,dance rock,High Kicks
Daath,technical death metal,The Hinderers
Extasick,digital hardcore,Extasick and This Dirty Musick
UFO,heavy metal,The Official Bootleg Box Set
Avril - Remix By Ana Rago,trip hop,The Date - Dated Girls Remixes
Pat Travers,blues-rock,Pat Travers
SNOWPATROL,indie rock,CHRISTMAS DANCE SENSATION
Die Fantastischen Vier,pop rap,Jetzt geht's ab - JubilA$?ums-Edition
Jeanie Lambe & The Danny Moss Quartet,hip hop,The Blue Noise Session
Nelson Ned,latin jazz,Mis Momentos
Yung Joc,gangster rap,Hustlenomics
Philippe Sarde,smooth jazz,"Le MystA""re de la Chambre Jaune (Bande Originale du Film)"
Orquesta AragA3n,charanga,10 De ColecciA3n
Jason Miles,jazz fusion,To Grover_ With Love
State of Chaos,tech house,Across the nation
Dropkick Murphys,celtic punk,Live On St. Patrick's Day
Taint,power electronics,Secrets & Lies
VHS Or Beta,disco,The Melting Moon
Leonard Kwan,slack key guitar,The Legendary Leonard Kwan : The Complete Early Recordings
True Believers,melodic hardcore,In This Place
Les Hurlements D'leo,folk rock,13 ans de caravaning
Charanga Forever,salsa,La Charanga Soy Yo
Zuzu Bollin,r&b,Hot Rhythm & Cool Blues
Bullet For My Valentine,alternative metal,The Poison
The Hit Factory,free music,The Hit Factory
Terry Snyder,space age pop,Ultra-Lounge_ Vol. 17: Bongoland
Marcus Miller,jazz funk,Suddenly
Beatnuts,grime,A Musical Massacre (Explicit)
Ayo,neo soul,Joyful
Kid Sister,hip house,Ultraviolet
Mons Leidvin Takle,lullaby,Gyldne Ayeblikk
Public Image Ltd,dance rock,Compact Disc
Rise Against,hardcore punk,This Is Noise
Sizzla,dancehall,Bien Sobre Mal Vol. 3: Black Rain Riddim
Richard Galliano,tango,Original Album Classics
Helen Love,power pop,Radio Hits
David Mingyue Liang,chinese music,The Flowing Waters
Pursuit Of Happiness,power pop,One Sided Story
Bobby Hutcherson,latin jazz,Jazz for a Summer Night
Gregory Isaacs,lovers rock,Mr. Cool
The Pharcyde,rap,Humboldt Beginnings
Azis,pop folk,BalkanBeats Volume 2
Amy Winehouse,vocal jazz,Take The Box
George Lopez,california,Tall_ Dark & Chicano
Les Hou-Lops,freakbeat,"Vendredi m'obsA""de"
The Cosmosamatics,free jazz,Zetrons
Jackie Edwards,rock steady,Roots And Culture Volume 3
Michael Card,ccm,The Final Word
Richard Galliano,tango,Original Album Classics
Ensiferum,power metal,Victory Songs
Leila Chicot,zouk,Zouk Sun-Hit MA(c)gamix
The Pharcyde / Big Boy / Schmooche Cat / Randy Mack,rap,Labcabincalifornia
Erkki Junkkarinen,humppa,YstA$?vA$?n Laulu - 25 Unohtumatonta Laulua
A Static Lullaby,post-hardcore,Faso Latido
Scar Symmetry,death metal,Nuclear Blast Showdown 2006
Oztara,musette,Ensorsoleil
Sonia Dersion,zouklove,Belles De Zouk
Christina Aguilera,dance pop,Mi Reflejo
Headhunter,dubstep,Parody Of Life
Eighteen Visions,alternative metal,Eighteen Visions
Baby Huey & The Baby Sitters,funk,The Baby Huey Story: The Living Legend
Elmore James,chicago blues,Dark And Dreary
Rising Lion,roots reggae,American Dread
George Harrison,classic rock,All Things Must Pass
Weezer,pop rock,The Green Album
Rodney O & Joe Cooley,miami bass,Greatest Hits
Boots Randolph,instrumental rock,Boots Randolph's Yakety Sax!
Jackson United,surf music,Harmony And Dissidence
The Cosmosamatics,free jazz,Zetrons
Bobbie Gentry,country blues,The Best of Bobbie Gentry: The Capitol Years
Creedence Clearwater Revived,country rock,The Best Of (featuring Johnny Guitar Williamson)
The Johnny Otis Orchestra,jump blues,Jukebox Hits 1946-1954
B.A.D.,dance rock,B.A.D. (Be A Devil)
Luar Na Lubre,freestyle,lo mejor de  Luar na Lubre
Circular,chill-out,Divergent
Fruko Y Sus Tesos,salsa,Soy Como Soy
The Bucketheads,vocal house,All In The Mind
The Police,new wave,Zenyatta Mondatta
Kinky,alternative dance,The Simple Life: Campfire Songs
The Real Kids,power pop,Senseless: Live At Cantone's_ 1982
Eddie Boyd,chicago blues,Live In Switzerland
Tha Chamba,rap,Don't Sleep
Jack Orsen & Taktlo$$,hip hop,Direkt Aus Dem Knast (Du Spast)
Olov Johansson_ Catriona Mckay,world music,Foogy
Shriekback,alternative dance,Cormorant
Hatebreed,hardcore punk,Supremacy
John Frizzell,soundtrack,Ghost Ship
Sister Hazel,post-grunge,Release
J.J. Cale,blues-rock,#8
Precious Bryant,blues,The Truth
Kings Of Leon,southern rock,Sex On Fire
Selena,tejano,La Leyenda
Brooke Valentine,crunk,Chain Letter
Krystof,soft rock,Rubikon
Claire Hamill,new age,Touchpaper
Los Originales De San Juan,mariachi,Perro Malagradecido
Black Flag,hardcore punk,Everything Went Black
Barbarito Diez,charanga,Asi
Aaron Watson,honky tonk,Angels & Outlaws
Mary Black,country rock,Best of 1991-2001 Hidden Harvest
Satan's Host,heavy metal,Satanic Grimoire
The Impressions,chicago soul,The Young Mods' Forgotten Story
Owl City,synthpop,Of June
Bobby Bland,soul blues,The Original Memphis Blues Brothers
Headliners,hard house,Das Album zum Film
Jane Winther,meditation,Prayer
The Rascals,blue-eyed soul,See
Blind Blake,country blues,Blind Blake Vol. 1 (1926 - 1927)
Emilia,europop,You're My World
CA3mplices,pop rock,Grandes Exitos: Complicidad
Emilio,tejano,10 Aniversario
Nana Caymmi,brazilian pop music,Sangre De Mi Alma
Kasia Stankiewicz,chill-out,Mimikra
Turisas,viking metal,Battle Metal
ChA(c)co Feliciano And Joe King,salsa,Ketukuba
Cache Cache,big beat,Only Do for Love
David Hudson,pop rock,Primal Elegance One
David Summers,pop,Perdido En El Espacio
Rummage,polka,thahandclaspinduction
Adr Lavey,gangster rap,Leviathans Creations
Bill Boyd's Cowboy Ramblers,western swing,Saturday Night Rag 1934-36 Volume 1
Canis Dirus,black metal,A Somber Wind From A Distant Shore
Vickie Winans,ccm,Share the Laughter
Justin,future jazz,Justin In Love With HK Philharmonic Concert Live
La Portuaria,disco,Rosas Rojas
Antonis Remos,pop folk,Antonis Remos Live
Percy Faith And His Orchestra,orchestra,The Golden Age of Light Music: Orchestral Gems in Stereo
Stars Like Fleas,glitch,The Ken Burns Effect
Gaetano Donizetti,bel canto,Roberto Devereux
Shakira,dance pop,El Amor En Los Tiempos del Colera (Love In The Time Of Cholera)
Maysa,brazilian pop music,Feel The Fire
Little Freddie King,new orleans blues,Gotta Walk With da King
Ms. Dynamite,grime,Judgement Days
Andy Russell,world,Andy Russell. Themes Only For Lovers
Blink-182,power pop,Dude Ranch
Selena,tejano,Unforgettable
Kali,hip hop,Requiem EP
Vickie Winans,ccm,Live In Detroit (Expanded Edition)
John Brown,hard trance,TheBurbsLife
Abysmal Dawn,blackened death metal,Programmed to Consume
Chaotica,industrial rock,Turbocharger
Lara & The Gumbo Lickers,visual kei,Keep cool
Elvin Bishop,blues-rock,Gettin' My Groove Back
Gordon Jenkins,orchestra,Hit Club_ The Hits 1949
1. Futurologischer Congress,kraut rock,Patchwork
Asleep At The Wheel,western swing,House Of Blue Lights
Neil Innes,pop rock,Let's Make Up And Be Friendly
Marcus Miller,jazz funk,A Night In Monte-Carlo (Live)
Siouxsie,dark wave,Into A Swan
Claire Hamill,new age,October
Alan Silvestri,country rock,G.I. JOE
Sunnyland Slim,piano blues,Chicago Blues Festival 1974 With Jimmy Dawkins
Byther Smith,chicago blues,Hold That Train
Dusminguet,rumba,Postrof
Rudolph Valentino,ballad,Movie Stars (CD 2)
Sylvia Patricia,bossa nova,Purpurina 37
Zeromancer,industrial rock,Sinners International
Regina Belle,vocal jazz,Lazy Afternoon
Two Man Advantage,thrash core,Don't Label Us
Green Day,alternative rock,Wake Me Up When September Ends
Ayo,neo soul,Outta Babylon & I Love You
Donny Hathaway,jazz funk,A Classic Soul Christmas
Chico,dirty south rap,Curvy Cola Bottle Body
KALIMBA,death core,Amar y Querer (Homenaje a Las Grandes Canciones)
SKOLD vs. KMFDM,heavy metal,SKOLD vs. KMFDM
Architecture In Helsinki,twee pop,Heart It Races Remixes
Wailing Souls,roots reggae,The Best of the Wailing Souls
Kitaro,chill-out,Heaven & Earth
Alice In Chains,grunge,Black Gives Way To Blue
Bobby Darin,brill building pop,The Capitol Years
Ini Kamoze,dancehall,Massive Reggae
9th Wonder featuring Defcon_ Phonte,hip hop,9th Wonder Presents Dream Merchant Volume 1
The Real Kids,power pop,Grown Up Wrong
Ill Nino,alternative metal,The Best Of Ill NiA+-o
De La Ghetto,reggaeton,Massacre Musical
Baroness,sludge metal,Blue Record
DMX / Eve / Jadakiss,hip hop,Grand Champ
Melt Banana,noise rock,Cactuses Come In Flocks
M.I.K.E.,progressive trance,Fuego Caliente
Willie Rosario,salsa,Back To The Future
Jude Taylor & His Burning Flames,zydeco,Best of Zydeco
Placebo,british pop,Black Market Music
Metallica,speed metal,Some Kind Of Monster
Sui Generis,cumbia,Adios Sui Generis Vol.I
The Red Telephone,power pop,Aviation
T-Bone,ccm,Don't Look Back
Bill Douglas,chamber jazz,Eternity's Sunrise
DJ Spinn featuring Traxman,chicago house,Da Nastier da Better
The Radio Dept.,shoegaze,Freddie And The Trojan Horse
MAPtley CrA1/4e,heavy metal,Dr Feelgood Deluxe Edition
