title,authors,language_code,num_pages,category
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,eng,192,short
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,eng,192,short
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,eng,192,short
The Power of One (The Power of One  #1),Bryce Courtenay,eng,544,large
The Power of One (The Power of One  #1),Bryce Courtenay,eng,291,medium
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,eng,260,medium
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,eng,240,medium
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,eng,206,medium
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,eng,838,large
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,eng,960,large
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,eng,837,large
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,eng,803,large
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,eng,752,large
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,eng,803,large
Tolstoy: Anna Karenina,Anthony Thorlby,eng,128,short
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,eng,100,short
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,eng,48,short
Wrinkles in Time,George Smoot/Keay Davidson,eng,360,medium
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,eng,250,medium
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,eng,367,medium
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,eng,352,medium
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,eng,215,medium
The Puffin Book of Nonsense Verse,Quentin Blake,eng,287,medium
Henry Miller on Writing,Henry Miller/Thomas H. Moore,eng,217,medium
Nexus (The Rosy Crucifixion  #3),Henry Miller,eng,316,medium
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,eng,464,large
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,eng,102,short
Sand and Foam,Kahlil Gibran/جبران خليل جبران,eng,100,short
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,eng,232,medium
100 Years of Lynchings,Ralph Ginzburg,eng,270,medium
On Beyond Zebra!,Dr. Seuss,eng,64,short
The Door Into Summer,Robert A. Heinlein,eng,304,medium
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,eng,368,medium
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,eng,72,short
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,eng,32,short
Against the Day,Thomas Pynchon,eng,1085,large
Gravity's Rainbow,Thomas Pynchon,eng,784,large
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,eng,773,large
Gravity's Rainbow,Thomas Pynchon,eng,776,large
The White Album,Joan Didion,eng,222,medium
Slouching Towards Bethlehem,Joan Didion,eng,238,medium
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,eng,1122,large
Collapse of Complex Societies,Joseph A. Tainter,eng,262,medium
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,eng,576,large
My Inventions,Nikola Tesla,eng,88,short
Tesla Papers,Nikola Tesla/David Hatcher Childress,eng,100,short
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,eng,397,medium
We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,eng,216,medium
Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,eng,32,short
The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,eng,304,medium
War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,eng,1392,large
The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,eng,352,medium
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,eng,192,short
Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,eng,352,medium
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,eng,425,large
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,eng,288,medium
Cryptonomicon,Neal Stephenson,eng,1139,large
The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,eng,499,large
Snow Crash,Neal Stephenson/Guy Abadia,eng,438,large
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,eng,450,large
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,eng,381,medium
The Design of Everyday Things,Donald A. Norman,eng,240,medium
The Psychology of Everyday Things,Donald A. Norman,eng,257,medium
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,eng,192,short
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,eng,192,short
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,eng,192,short
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,eng,192,short
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,eng,200,short
Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,eng,192,short
The Westing Game,Ellen Raskin,eng,182,short
Memoirs of a Geisha,Arthur Golden,eng,503,large
Memoirs of a Geisha,Arthur Golden,eng,434,large
Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,eng,144,short
Memoirs of a Geisha,Arthur Golden,eng,497,large
The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,eng,0,short
A Killing Rain (Louis Kincaid  #6),P.J. Parrish,eng,383,medium
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,eng,258,medium
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,eng,320,medium
Think and Grow Rich,Napoleon Hill,eng,368,medium
The Richest Man in Babylon,George S. Clason,eng,194,short
The Richest Man in Babylon,George S. Clason,eng,4,short
Shibumi,Trevanian/Gisela Stege,eng,480,large
1776,David McCullough,eng,386,medium
1776,Peter  Stone/Sherman Edwards,eng,192,short
Snow Flower and the Secret Fan,Lisa See,eng,269,medium
The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,eng,1344,large
The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,eng,432,large
Liar's Poker,Michael   Lewis,eng,256,medium
Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark,eng,64,short
Everyday Pasta,Giada De Laurentiis/Victoria Pearson,eng,240,medium
Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay,eng,256,medium
Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay,eng,304,medium
The Last Assassin (John Rain  #5),Barry Eisler,eng,338,medium
Lincoln on Leadership: Executive Strategies for Tough Times,Donald T. Phillips,eng,193,short
The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,eng,512,large
The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,eng,468,large
Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,eng,317,medium
The 48 Laws of Power,Robert Greene/Joost Elffers,eng,452,large
Gates of Fire,Steven Pressfield,eng,392,medium
Fire Sea (The Death Gate Cycle  #3),Margaret Weis/Tracy Hickman,eng,414,large
The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield/Robert McKee,eng,168,short
Lysis/Phaedrus/Symposium: Plato on Homosexuality,Plato/Benjamin Jowett,eng,157,short
Enthusiasm and Divine Madness,Josef Pieper/Richard Winston/Clara Winston,eng,125,short
On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws,Plato/C.D.C. Reeve,eng,272,medium
Gorgias/Phaedrus (Agora),Plato/James H. Nichols Jr.,eng,233,medium
The Iliad/The Odyssey,Homer/Robert Fagles/Bernard Knox,eng,1556,large
Aeneid: Selections from Books 1  2  4  6  10  12,Virgil/Barbara Weiden Boyd,eng,161,short
City Eclogue,Ed Roberson,eng,136,short
The Complete Pelican Shakespeare,William Shakespeare/Stephen Orgel/A.R. Braunmuller,eng,1808,large
The Complete Works,William Shakespeare,eng,1248,large
Hamlet,William Shakespeare/Harold Bloom/Rex Gibson,eng,289,medium
The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company/Adam Long/Daniel Singer/Jess Winfield,eng,137,short
Hamlet,William Shakespeare/Stephen Orgel/A.R. Braunmuller,eng,148,short
Shakespeare's Hamlet,William Shakespeare/Terri Mategrano,eng,240,medium
Hamlet's Mill: An Essay Investigating the Origins of Human Knowledge and Its Transmission Through Myth,Giorgio De Santillana/Hertha Von Dechend,eng,450,large
History of the Peloponnesian War  Bk. 7-8,Thucydides/C.F. Smith,eng,480,large
Thucydides  Book 6 Commentary,Cynthia W. Shelmerdine,eng,34,short
Euripides I: Alcestis / The Medea / The Heracleidae / Hippolytus,Euripides/Richmond Lattimore/David Grene/Rex Warner/Ralph Gladstone,eng,221,medium
Euripides V: Electra / The Phoenician Women / The Bacchae,Euripides/David Grene/Richmond Lattimore/Emily Townsend Vermeule/Elizabeth Wyckoff/William Arrowsmith,eng,228,medium
Euripides IV: Rhesus / The Suppliant Women / Orestes / Iphigenia in Aulis,Euripides/David Grene/Richmond Lattimore/William Arrowsmith/Frank William Jones/Charles R. Walker,eng,307,medium
Grief Lessons: Four Plays by Euripides,Anne Carson/Euripides,eng,312,medium
Euripides III: Hecuba / Andromache / The Trojan Women / Ion (Complete Greek Tragedies  #7),Euripides/David Grene/Richmond Lattimore/William Arrowsmith/John Frederick Nims/Ronald Frederick Willetts,eng,255,medium
Euripides II: The Cyclops / Heracles / Iphigenia in Tauris / Helen,Euripides/David Grene/Richmond Lattimore/Witter Bynner/William Arrowsmith,eng,264,medium
Medea and Other Plays,Euripides/John Davie/Richard Rutherford,eng,206,medium
The Bacchae and Other Plays,Euripides/John Davie/Richard Rutherford,eng,360,medium
Orestes and Other Plays,Euripides/James Morwood/Robin Waterfield,eng,282,medium
Euripides: Medea,William Allan,eng,160,short
CliffsNotes on Euripides' Medea and Electra,Robert J. Milch,eng,69,short
Euripides: Iphigenia at Aulis (Companions to Greek & Roman Tragedy),Euripides/Pantelis Michelakis,eng,144,short
The Complete Greek Tragedies  Volume 3: Euripides,Euripides/David Grene/Richmond Lattimore,eng,672,large
Aeschylus II: The Suppliant Maidens  The Persians  Seven against Thebes  and Prometheus Bound (The Complete Greek Tragedies),Aeschylus/David Grene/Richmond Lattimore/Seth Benardete,eng,188,short
The Oresteia,Aeschylus/Alan Shapiro/Peter H. Burian,eng,304,medium
The Oresteia: Agamemnon  The Libation Bearers  The Eumenides,Aeschylus/Robert Fagles/William Bedell Stanford,eng,335,medium
Oresteia,Aeschylus/Peter Meineck/Helene P. Foley,eng,224,medium
Prometheus Bound and Other Plays,Aeschylus/Philip Vellacott,eng,160,short
Aeschylus  1: The Oresteia: Agamemnon/The Libation Bearers/The Eumenides,Aeschylus/David R. Slavitt/Smith Palmer Bovie,eng,178,short
The Complete Greek Tragedies  Volume 1: Aeschylus,Aeschylus/Richmond Lattimore/David Grene,eng,358,medium
Aeschylus: The Oresteia (A Student Guide: Landmarks of World Literature),Simon Goldhill,eng,95,short
The Oresteia: Agamemnon  Choephoroe & Eumenides (Everyman's Library  No. 260),Aeschylus/George Thomson/Richard Seaford,eng,127,short
The Oresteia Trilogy: Agamemnon/The Libation-Bearers/The Furies,Aeschylus/E.D.A. Morshead,eng,151,short
The Suppliant Maidens/The Persians/Seven against Thebes/Prometheus Bound,Aeschylus/E.D.A. Morshead,eng,208,medium
Sophocles II: Ajax/Women of Trachis/Electra/Philoctetes (Complete Greek Tragedies 4),Sophocles/David Grene/Richmond Lattimore/John Moore/Michael Jameson,eng,254,medium
The Complete Plays,Sophocles/Paul Roche,eng,420,large
Electra and Other Plays,Sophocles/E.F. Watling,eng,218,medium
Four Plays: The Clouds/The Birds/Lysistrata/The Frogs,Aristophanes/William Arrowsmith/Richmond Lattimore/Douglass Parker,eng,624,large
The Complete Plays,Aristophanes/Moses Hadas,eng,577,large
Four Comedies: Lysistrata / The Frogs / The Birds / Ladies' Day,Aristophanes/Dudley Fitts,eng,400,medium
Aristophanes and Athens: An Introduction to the Plays,Douglas M. MacDowell,eng,376,medium
The Enchiridion on Faith Hope and Love (Augustine Series 1),Augustine of Hippo/Bruce Harbert/John E. Rotelle,eng,144,short
On Christian Doctrine,Augustine of Hippo/D.W. Robertson Jr.,eng,191,short
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,eng,302,medium
The Metamorphoses of Ovid,Ovid/Allen Mandelbaum,eng,559,large
Metamorphoses,Ovid/David Raeburn/Denis Feeney,eng,723,large
Metamorphoses,Ovid/Bernard Knox/Charles    Martin,eng,624,large
Ovid's Metamorphoses: Books 1-5,Ovid/William Scovil Anderson,eng,584,large
Ovid’s Metamorphoses: Books 6-10,Ovid/William Scovil Anderson,eng,560,large
The Art of Love and Other Poems,Ovid/J.H. Mozley/G.P. Goold,eng,400,medium
The Poems of Exile: Tristia and the Black Sea Letters,Ovid/Peter Green,eng,451,large
Metamorphoses: Volume 2  Books IX-XV,Ovid/Frank Justus Miller,eng,499,large
Metamorphoses: Volume I  Books I-VIII,Ovid/Frank Justus Miller,eng,496,large
Practice! Practice!: A Latin Via Ovid Workbook,Norma Goldman/Michael  Rossi,eng,152,short
Dionysiac Poetics and Euripides' Bacchae,Charles Segal,eng,440,large
Object-Oriented Programming in C++,Richard Johnsonbaugh/Martin Kalin,eng,640,large
Reading Greek Tragedy,Simon Goldhill,eng,302,medium
Guns  Germs and Steel: The Fates of Human Societies,Jared Diamond,eng,518,large
Wild Swans: Three Daughters of China,Jung Chang,eng,562,large
Wild Fire (John Corey  #4),Nelson DeMille,eng,519,large
Wild About Books,Judy Sierra/Marc Brown,eng,40,short
The History of Sexuality 1: An Introduction,Michel Foucault/Robert Hurley,eng,168,short
The History of Sexuality  Volume 1: The Will to Knowledge,Michel Foucault/Robert Hurley,eng,168,short
The History of Sexuality  Volume 2: The Use of Pleasure,Michel Foucault/Robert Hurley,eng,304,medium
The Making of Pride and Prejudice,Sue Birtwistle/Sue Conklin/Susie Conklin,eng,128,short
Pride and Prejudice,Jane Austen,eng,333,medium
Pride & Prejudice,Jane Austen/Vivien Jones,eng,392,medium
Pride and Prejudice,Jane Austen/George Saintsbury/Hugh  Thomson,eng,476,large
Pride and Prejudice,Jane Austen/Carol Howard,eng,392,medium
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,eng,399,medium
Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,eng,368,medium
In the Land of White Death: An Epic Story of Survival in the Siberian Arctic,Valerian Albanov/Jon Krakauer/David  Roberts/Alison Anderson/Валериан Альбанов,eng,288,medium
The Avalanche Handbook,David McClung/Peter Schaerer,eng,342,medium
Little Women,Louisa May Alcott,eng,449,large
Little Women (Little Women  #1),Louisa May Alcott/Scott McKowen,eng,536,large
Little Women,Louisa May Alcott/Paula Danziger,eng,562,large
Little Women,Louisa May Alcott/Jessie Willcox Smith/Frank T. Merrill,eng,389,medium
Little Women  Little Men  Jo's Boys,Louisa May Alcott/Elaine Showalter,eng,1064,large
Little Women,Louisa May Alcott,eng,327,medium
A Tale of Two Cities: Charles Dickens,SparkNotes,eng,96,short
Den of Thieves (Cat Royal  #3),Julia Golding,eng,416,large
Bleak House,Charles Dickens/Mary Gaitskill/Hablot Knight Browne,eng,887,large
The Third Chimpanzee: The Evolution & Future of the Human Animal,Jared Diamond,eng,407,large
Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,J.K. Rowling,eng,240,medium
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,eng,768,large
Later Novels and Other Writings: The Lady in the Lake / The Little Sister / The Long Goodbye / Playback / Double Indemnity (screenplay) / Selected Essays and Letters,Raymond Chandler/Frank MacShane,eng,1076,large
Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell  My Lovely / The High Window,Raymond Chandler/Frank MacShane,eng,1199,large
The Lady in the Lake  The Little Sister  The Long Goodbye  Playback (Everyman's Library),Raymond Chandler/Tom Hiney,eng,1016,large
The High Window (Philip Marlowe  #3),Raymond Chandler,eng,265,medium
The Simple Art of Murder,Raymond Chandler,eng,384,medium
The Big Sleep (Philip Marlowe  #1),Raymond Chandler,eng,231,medium
The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,eng,379,medium
The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,eng,2,short
Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,eng,588,large
The Mind’s I: Fantasies and Reflections on Self and Soul,Douglas R. Hofstadter/Daniel C. Dennett,eng,512,large
The Illustrated A Brief History of Time,Stephen Hawking,eng,256,medium
A Briefer History of Time,Stephen Hawking/Leonard Mlodinow,eng,176,short
The Universe in a Nutshell,Stephen Hawking,eng,216,medium
God Created the Integers: The Mathematical Breakthroughs That Changed History,Stephen Hawking,eng,1160,large
Stephen Hawking's Universe: The Cosmos Explained,David Filkin/Stephen Hawking,eng,304,medium
Stephen Hawking's Universe,John Boslough,eng,160,short
The Nature of Space and Time,Stephen Hawking/Roger Penrose,eng,152,short
Falconry & Hawking,Phillip Glasier,eng,352,medium
The World Treasury of Physics  Astronomy & Mathematics from Albert Einstein to Stephen W. Hawking & from Annie Dillard to John Updike,Timothy Ferris,eng,859,large
The 36-Hour Day: A Family Guide to Caring for Persons with Alzheimer Disease  Related Dementing Illnesses  and Memory Loss in Later Life,Nancy L. Mace/Peter V. Rabins,eng,624,large
Blink,Ted Dekker,eng,400,medium
Blink-182: Tales from Beneath Your Mom,Mark Hoppus/Anne Hoppus/Alex Gaskarth,eng,112,short
The Complete Novels,Jane Austen/Hugh  Thomson,eng,1103,large
Jane Austen: The Complete Novels,Jane Austen,eng,1103,large
Jane Austen's Letters,Jane Austen/Deirdre Le Faye,eng,672,large
Persuasion,Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch,eng,249,medium
Middlesex,Jeffrey Eugenides,eng,529,large
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,eng,916,large
John Adams,David McCullough,eng,751,large
The Letters of John and Abigail Adams,Abigail Adams/Frank Shuffelton,eng,512,large
Passionate Sage: The Character and Legacy of John Adams,Joseph J. Ellis,eng,288,medium
The Portable John Adams,John  Adams/John Patrick Diggins,eng,533,large
The Feeling Good Handbook,David D. Burns,eng,729,large
On Death and Dying,Elisabeth Kübler-Ross,eng,288,medium
Questions and Answers on Death and Dying: A Companion Volume to On Death and Dying,Elisabeth Kübler-Ross,eng,192,short
The Seven Habits of Highly Effective People,Stephen R. Covey,eng,368,medium
The 7 Habits of Highly Effective People Personal Workbook,Stephen R. Covey,eng,192,short
Truman,David McCullough,eng,1120,large
The Complete Stories of Truman Capote,Truman Capote/Reynolds Price,eng,320,medium
In Cold Blood,Truman Capote/Scott Brick,eng,15,short
The Emergence of Life on Earth: A Historical and Scientific Overview,Iris Fry,eng,344,medium
The House of Mirth / The Reef / The Custom of the Country / The Age of Innocence,Edith Wharton/R.W.B. Lewis,eng,1328,large
Collected Stories  1911-1937,Edith Wharton/Maureen Howard,eng,848,large
Novellas and Other Writings: Madame de Treymes / Ethan Frome / Summer / Old New York / The Mother’s Recompense / A Backward Glance,Edith Wharton/Cynthia Griffin Wolff,eng,1137,large
Below the Root,Zilpha Keatley Snyder/Alton Raible,eng,231,medium
The Letters of J.R.R. Tolkien,J.R.R. Tolkien/Humphrey Carpenter/Christopher Tolkien,eng,502,large
Tandia,Bryce Courtenay,eng,905,large
Solomon's Song (The Potato Factory  #3),Bryce Courtenay,eng,671,large
An Introduction to Old Norse,E.V. Gordon/A.R. Taylor,eng,412,large
Mornings on Horseback: The Story of an Extraordinary Family  a Vanished Way of Life  and the Unique Child Who Became Theodore Roosevelt,David McCullough,eng,445,large
The Johnstown Flood,David McCullough,eng,302,medium
The Path Between the Seas: The Creation of the Panama Canal  1870-1914,David McCullough,eng,697,large
The Bone Collector (Lincoln Rhyme  #1),Jeffery Deaver,eng,528,large
"Unpainted to the Last: ""Moby Dick"" and Twentieth-century American Art",Elizabeth A. Schultz,eng,400,medium
Witches Abroad (Discworld  #12; Witches #3),Terry Pratchett,eng,374,medium
The Shield. Catalogue of Women. Other Fragments. (Hesiod II),Hesiod/Glenn W. Most,eng,434,large
The Complete Short Stories,H.G. Wells/John R. Hammond,eng,864,large
Blood Done Sign My Name: A True Story,Timothy B. Tyson,eng,368,medium
Blindness,José Saramago/Giovanni Pontiero,eng,326,medium
The Gospel According to Jesus Christ,José Saramago/Giovanni Pontiero,eng,377,medium
The Year of the Death of Ricardo Reis,José Saramago/Giovanni Pontiero,eng,384,medium
The Treasured Writings of Kahlil Gibran,Kahlil Gibran,eng,902,large
The Prophet,Kahlil Gibran/جبران خليل جبران/Jihad El,eng,127,short
A Tear and a Smile,Kahlil Gibran/جبران خليل جبران/H.M. Nahmad/Robert Hillyer,eng,228,medium
De Kooning: An American Master,Mark Stevens/Annalyn Swan,eng,732,large
Willem de Kooning: Late Paintings,Julie Sylvester/David Sylvester,eng,83,short
The Facilitator's Book of Questions: Tools for Looking Together at Student and Teacher Work,David  Allen/Tina Blythe/Gene Thompson-Grove,eng,142,short
Marketing Warfare,Al Ries/Jack Trout,eng,216,medium
To Kill a Mockingbird,Harper Lee,eng,323,medium
To Kill a Mockingbird,Harper Lee/Sissy Spacek,eng,11,short
The Wealthy Barber: Everyone's Common-Sense Guide to Becoming Financially Independent,David H. Chilton,eng,199,short
A Modest Proposal and Other Satirical Works,Jonathan Swift,eng,64,short
Empire 2.0: A Modest Proposal for a United States of the West (Terra Nova),Xavier de C./Xavier de C./Joseph Rowe,eng,144,short
Novels 1896–1899: The Other House / The Spoils of Poynton / What Maisie Knew / The Awkward Age,Henry James/Myra Jehlen,eng,1035,large
Novels 1901–1902: The Sacred Fount / The Wings of the Dove,Henry James/Leo Bersani,eng,713,large
Complete Stories 1892–1898,Henry James/John Hollander/David Bromwich,eng,958,large
Oxford Guides to Chaucer: The Canterbury Tales,Helen  Cooper,eng,456,large
Salt in His Shoes: Michael Jordan in Pursuit of a Dream,Deloris Jordan/Kadir Nelson/Roslyn M. Jordan,eng,32,short
Cities of Salt (مدن الملح #1),Abdul Rahman Munif/Peter Theroux,eng,627,large
Illuminations: Essays and Reflections,Walter Benjamin/Hannah Arendt/Harry Zohn/Leon Wieseltier,eng,288,medium
Saul Steinberg: Illuminations,Saul Steinberg/Joel Smith/Charles Simic,eng,288,medium
Advanced Global Illumination,Philip Dutre,eng,366,medium
The Lost Boy (Dave Pelzer #2),Dave Pelzer,eng,331,medium
The Denial of Death,Ernest Becker/Sam Keen/Daniel Goleman,eng,336,medium
A People's History of the United States,Howard Zinn,eng,729,large
A People's History of the United States,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,eng,619,large
A People's History of the United States: The Civil War to the Present,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,eng,496,large
Immigrant Acts: On Asian American Cultural Politics,Lisa Lowe,eng,272,medium
E=mc²: A Biography of the World's Most Famous Equation,David Bodanis,eng,337,medium
The Rock That Is Higher: Story as Truth,Madeleine L'Engle,eng,320,medium
The Glorious Impossible,Madeleine L'Engle/Giotto di Bondone,eng,64,short
The Birth of Tragedy and Other Writings,Friedrich Nietzsche/Raymond Geuss/Ronald Speirs,eng,204,medium
Birth Of A Tragedy: Kashmir 1947,Alastair Lamb,eng,179,short
Literature Circle Guide: Bridge to Terabithia: Everything You Need For Successful Literature Circles That Get Kids Thinking  Talking  Writing—and Loving Literature,Tara MacCarthy,eng,32,short
The Invisible Child,Katherine Paterson,eng,266,medium
A Short History of Decay,Emil M. Cioran/Richard Howard,eng,186,short
Bleach  Volume 15,Tite Kubo,eng,208,medium
Bleach  Volume 01,Tite Kubo,eng,200,short
Bleach  Volume 14,Tite Kubo,eng,208,medium
Bleach  Volume 11,Tite Kubo,eng,208,medium
Bleach  Volume 12,Tite Kubo,eng,208,medium
