Rank,Name,Platform,Genre,Publisher
45,Grand Theft Auto V,PS4,Action,Take-Two Interactive
46,Pokemon HeartGold/Pokemon SoulSilver,DS,Action,Nintendo
47,Super Mario 64,N64,Platform,Nintendo
48,Gran Turismo 4,PS2,Racing,Sony Computer Entertainment
49,Super Mario Galaxy,Wii,Platform,Nintendo
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Role-Playing,Nintendo
51,Super Mario Land 2: 6 Golden Coins,GB,Adventure,Nintendo
52,Grand Theft Auto IV,X360,Action,Take-Two Interactive
53,Gran Turismo,PS,Racing,Sony Computer Entertainment
54,Super Mario 3D Land,3DS,Platform,Nintendo
55,Gran Turismo 5,PS3,Racing,Sony Computer Entertainment
56,Call of Duty: Modern Warfare 2,PS3,Shooter,Activision
57,Grand Theft Auto IV,PS3,Action,Take-Two Interactive
58,Super Mario All-Stars,SNES,Platform,Nintendo
59,Pokemon FireRed/Pokemon LeafGreen,GBA,Role-Playing,Nintendo
60,Super Mario 64,DS,Platform,Nintendo
61,Just Dance 3,Wii,Misc,Ubisoft
62,Call of Duty: Ghosts,X360,Shooter,Activision
63,Halo: Reach,X360,Shooter,Microsoft Game Studios
64,Mario Kart 64,N64,Racing,Nintendo
65,New Super Mario Bros. 2,3DS,Platform,Nintendo
66,Halo 4,X360,Shooter,Microsoft Game Studios
67,Final Fantasy VII,PS,Role-Playing,Sony Computer Entertainment
68,Call of Duty: Ghosts,PS3,Shooter,Activision
69,Just Dance 2,Wii,Misc,Ubisoft
70,Gran Turismo 2,PS,Racing,Sony Computer Entertainment
71,Call of Duty 4: Modern Warfare,X360,Shooter,Activision
72,Donkey Kong Country,SNES,Platform,Nintendo
73,Minecraft,X360,Misc,Microsoft Game Studios
74,Animal Crossing: New Leaf,3DS,Simulation,Nintendo
75,Mario Party DS,DS,Misc,Nintendo
76,The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks
77,Super Mario Kart,SNES,Racing,Nintendo
78,FIFA 16,PS4,Sports,Electronic Arts
79,Wii Party,Wii,Misc,Nintendo
80,Halo 2,XB,Shooter,Microsoft Game Studios
81,Mario Party 8,Wii,Misc,Nintendo
82,Pokemon Black 2/Pokemon White 2,DS,Role-Playing,Nintendo
83,FIFA Soccer 13,PS3,Action,Electronic Arts
84,The Sims 3,PC,Simulation,Electronic Arts
85,GoldenEye 007,N64,Shooter,Nintendo
86,Mario & Sonic at the Olympic Games,Wii,Sports,Sega
87,Final Fantasy X,PS2,Role-Playing,Sony Computer Entertainment
88,Final Fantasy VIII,PS,Role-Playing,SquareSoft
89,Pokémon Platinum Version,DS,Role-Playing,Nintendo
90,Pac-Man,2600,Puzzle,Atari
91,Grand Theft Auto: Liberty City Stories,PSP,Action,Take-Two Interactive
92,Super Mario Galaxy 2,Wii,Platform,Nintendo
93,Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts
94,Call of Duty: Advanced Warfare,PS4,Shooter,Activision
95,The Legend of Zelda: Ocarina of Time,N64,Action,Nintendo
96,Crash Bandicoot 2: Cortex Strikes Back,PS,Platform,Sony Computer Entertainment
97,Super Mario Bros. 2,NES,Platform,Nintendo
98,Super Smash Bros. for Wii U and 3DS,3DS,Fighting,Nintendo
99,Call of Duty: World at War,X360,Shooter,Activision
100,Battlefield 3,X360,Shooter,Electronic Arts
101,The Legend of Zelda: Twilight Princess,Wii,Action,Nintendo
102,Call of Duty: Black Ops 3,XOne,Shooter,Activision
103,Just Dance,Wii,Misc,Ubisoft
104,Battlefield 3,PS3,Shooter,Electronic Arts
105,Need for Speed Underground,PS2,Racing,Electronic Arts
106,Tekken 3,PS,Fighting,Sony Computer Entertainment
107,Crash Bandicoot 3: Warped,PS,Platform,Sony Computer Entertainment
108,Super Smash Bros. Melee,GC,Fighting,Nintendo
109,Mario Kart 8,WiiU,Racing,Nintendo
110,Fallout 4,PS4,Role-Playing,Bethesda Softworks
111,Mario Kart: Double Dash!!,GC,Racing,Nintendo
112,Just Dance 4,Wii,Misc,Ubisoft
113,FIFA 14,PS3,Sports,Electronic Arts
114,Need for Speed Underground 2,PS2,Racing,Electronic Arts
115,Medal of Honor: Frontline,PS2,Shooter,Electronic Arts
116,Uncharted 3: Drake's Deception,PS3,Action,Sony Computer Entertainment
117,Crash Bandicoot,PS,Platform,Sony Computer Entertainment
118,Zumba Fitness,Wii,Sports,505 Games
119,Gears of War 2,X360,Shooter,Microsoft Game Studios
120,Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment
121,Call of Duty 4: Modern Warfare,PS3,Shooter,Activision
122,FIFA 12,PS3,Sports,Electronic Arts
123,Big Brain Academy,DS,Misc,Nintendo
124,Red Dead Redemption,PS3,Action,Take-Two Interactive
125,FIFA 15,PS4,Sports,Electronic Arts
126,Donkey Kong Country Returns,Wii,Platform,Nintendo
127,The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks
128,The Legend of Zelda,NES,Action,Nintendo
129,Assassin's Creed III,PS3,Action,Ubisoft
130,Halo: Combat Evolved,XB,Shooter,Microsoft Game Studios
131,Pokémon Emerald Version,GBA,Role-Playing,Nintendo
132,Kingdom Hearts,PS2,Role-Playing,Sony Computer Entertainment
133,Pokémon Crystal Version,GB,Role-Playing,Nintendo
134,Halo 3: ODST,X360,Shooter,Microsoft Game Studios
135,Red Dead Redemption,X360,Action,Take-Two Interactive
136,Super Mario Sunshine,GC,Platform,Nintendo
137,Street Fighter II: The World Warrior,SNES,Fighting,Capcom
138,World of Warcraft,PC,Role-Playing,Activision
139,Driver,PS,Action,GT Interactive
140,Kinect Sports,X360,Sports,Microsoft Game Studios
141,Gears of War 3,X360,Shooter,Microsoft Game Studios
142,Gears of War,X360,Shooter,Microsoft Game Studios
143,Metal Gear Solid 2: Sons of Liberty,PS2,Action,Konami Digital Entertainment
144,Sonic the Hedgehog 2,GEN,Platform,Sega
145,Metal Gear Solid 4: Guns of the Patriots,PS3,Action,Konami Digital Entertainment
146,Metal Gear Solid,PS,Action,Konami Digital Entertainment
147,The Last of Us,PS3,Action,Sony Computer Entertainment Europe
148,Final Fantasy XII,PS2,Role-Playing,Square Enix
149,LittleBigPlanet,PS3,Platform,Sony Computer Entertainment
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,Role-Playing,Nintendo
151,LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts
152,Resident Evil 2,PS,Action,Virgin Interactive
153,Tekken 2,PS,Fighting,Sony Computer Entertainment
154,Cooking Mama,DS,Simulation,505 Games
155,Destiny,PS4,Shooter,Activision
156,Tetris,NES,Puzzle,Nintendo
157,Assassin's Creed II,PS3,Action,Ubisoft
158,Super Smash Bros.,N64,Fighting,Nintendo
159,Assassin's Creed,X360,Adventure,Ubisoft
160,Batman: Arkham City,PS3,Action,Warner Bros. Interactive Entertainment
161,Forza Motorsport 3,X360,Racing,Microsoft Game Studios
162,Monster Hunter Freedom Unite,PSP,Role-Playing,Capcom
163,Super Mario Advance,GBA,Platform,Nintendo
164,Mario Kart: Super Circuit,GBA,Racing,Nintendo
165,Super Mario World,GBA,Platform,Nintendo
166,Pokemon Stadium,N64,Strategy,Nintendo
167,Call of Duty: World at War,PS3,Shooter,Activision
168,Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive
169,Minecraft,PS3,Misc,Sony Computer Entertainment
170,Final Fantasy XIII,PS3,Role-Playing,Square Enix
171,Dr. Mario,GB,Puzzle,Nintendo
172,Pokemon Pinball,GB,Misc,Nintendo
173,Assassin's Creed III,X360,Action,Ubisoft
174,Final Fantasy IX,PS,Role-Playing,SquareSoft
175,Final Fantasy X-2,PS2,Role-Playing,Electronic Arts
176,Donkey Kong 64,N64,Platform,Nintendo
177,Assassin's Creed II,X360,Action,Ubisoft
178,Professor Layton and the Curious Village,DS,Puzzle,Nintendo
179,Tomb Raider II,PS,Action,Eidos Interactive
180,Madden NFL 2004,PS2,Sports,Electronic Arts
181,Dragon Quest VIII: Journey of the Cursed King,PS2,Role-Playing,Square Enix
182,Diablo III,PC,Role-Playing,Activision
183,Super Mario Bros. 3,GBA,Platform,Nintendo
184,New Super Mario Bros. U,WiiU,Platform,Nintendo
185,Super Mario Land 3: Wario Land,GB,Platform,Nintendo
186,FIFA Soccer 13,X360,Action,Electronic Arts
187,The Legend of Zelda: Phantom Hourglass,DS,Action,Nintendo
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Platform,Nintendo
189,Tomodachi Life,3DS,Simulation,Nintendo
190,Mario & Sonic at the Olympic Games,DS,Sports,Sega
191,Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts
192,Kirby's Dream Land,GB,Platform,Nintendo
193,Fable III,X360,Role-Playing,Microsoft Game Studios
194,Call of Duty: Advanced Warfare,XOne,Shooter,Activision
195,Microsoft Flight Simulator,PC,Simulation,Microsoft Game Studios
196,Guitar Hero II,PS2,Misc,RedOctane
197,Resident Evil 5,PS3,Action,Capcom
198,Grand Theft Auto V,XOne,Action,Take-Two Interactive
199,Grand Theft Auto: Vice City Stories,PSP,Action,Take-Two Interactive
200,FIFA Soccer 11,PS3,Sports,Electronic Arts
201,Super Mario Bros.,GB,Platform,Nintendo
202,Resident Evil,PS,Action,Virgin Interactive
203,Tony Hawk's Pro Skater,PS,Sports,Activision
204,Super Smash Bros. for Wii U and 3DS,WiiU,Fighting,Nintendo
205,Warzone 2100,PS,Strategy,Eidos Interactive
206,Spyro the Dragon,PS,Platform,Sony Computer Entertainment
207,Link's Crossbow Training,Wii,Shooter,Nintendo
208,Guitar Hero III: Legends of Rock,PS2,Misc,Activision
209,Fallout 3,X360,Role-Playing,Bethesda Softworks
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,Role-Playing,Nintendo
211,Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment
212,Madden NFL 06,PS2,Sports,Electronic Arts
213,LEGO Star Wars: The Complete Saga,DS,Action,LucasArts
214,Diddy Kong Racing,N64,Racing,Nintendo
215,Monster Hunter Freedom 3,PSP,Role-Playing,Capcom
216,Dr. Mario,NES,Puzzle,Nintendo
217,God of War III,PS3,Action,Sony Computer Entertainment
218,StarCraft II: Wings of Liberty,PC,Strategy,Activision
219,Assassin's Creed,PS3,Adventure,Ubisoft
220,FIFA 15,PS3,Sports,Electronic Arts
221,Crash Team Racing,PS,Racing,Sony Computer Entertainment
222,FIFA 17,PS4,Sports,Electronic Arts
223,Batman: Arkham City,X360,Action,Warner Bros. Interactive Entertainment
224,Driver 2,PS,Action,Atari
225,The Simpsons: Hit & Run,PS2,Racing,Vivendi Games
226,Tony Hawk's Pro Skater 2,PS,Sports,Activision
227,Animal Crossing: City Folk,Wii,Simulation,Nintendo
228,The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts
229,Forza Motorsport 4,X360,Racing,Microsoft Game Studios
230,Tomb Raider,PS,Action,Eidos Interactive
231,Guitar Hero III: Legends of Rock,Wii,Misc,Activision
232,The Legend of Zelda: A Link to the Past,SNES,Action,Nintendo
233,The Legend of Zelda: The Wind Waker,GC,Action,Nintendo
234,Mario & Sonic at the Olympic Winter Games,Wii,Sports,Sega
235,Luigi's Mansion: Dark Moon,3DS,Action,Nintendo
236,Splatoon,WiiU,Shooter,Nintendo
237,The Last of Us,PS4,Action,Sony Computer Entertainment
238,Guitar Hero III: Legends of Rock,X360,Misc,Activision
239,Madden NFL 2005,PS2,Sports,Electronic Arts
240,Pitfall!,2600,Platform,Activision
241,Madden NFL 07,PS2,Sports,Electronic Arts
242,Spider-Man: The Movie,PS2,Action,Activision
243,Dragon Quest VII: Warriors of Eden,PS,Role-Playing,Enix Corporation
244,Uncharted: The Nathan Drake Collection,PS4,Action,Sony Computer Entertainment
245,Call of Duty: Advanced Warfare,PS3,Shooter,Activision
246,God of War,PS2,Action,Sony Computer Entertainment
247,Nintendo Land,WiiU,Misc,Nintendo
248,Michael Jackson: The Experience,Wii,Misc,Ubisoft
249,Tony Hawk's Pro Skater 3,PS2,Sports,Activision
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,Konami Digital Entertainment
251,The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive
252,Zelda II: The Adventure of Link,NES,Adventure,Nintendo
253,Need for Speed: Most Wanted,PS2,Racing,Electronic Arts
254,Resistance: Fall of Man,PS3,Shooter,Sony Computer Entertainment
255,Sonic the Hedgehog,GEN,Platform,Sega
256,Kingdom Hearts II,PS2,Role-Playing,Square Enix
257,FIFA 14,X360,Sports,Electronic Arts
258,Call of Duty: Advanced Warfare,X360,Shooter,Activision
259,Asteroids,2600,Shooter,Atari
260,Fable II,X360,Role-Playing,Microsoft Game Studios
261,Halo 5: Guardians,XOne,Shooter,Microsoft Game Studios
262,Super Mario 3D World,WiiU,Platform,Nintendo
263,Batman: Arkham Asylum,PS3,Action,Eidos Interactive
264,Assassin's Creed: Revelations,PS3,Action,Ubisoft
265,Namco Museum,GBA,Misc,Namco Bandai Games
266,Metal Gear Solid 3: Snake Eater,PS2,Action,Konami Digital Entertainment
267,Daxter,PSP,Platform,Sony Computer Entertainment
268,Warcraft II: Tides of Darkness,PC,Strategy,Activision
269,The Legend of Zelda: Ocarina of Time,3DS,Action,Nintendo
270,FIFA Soccer 06,PS2,Sports,Electronic Arts
271,EyeToy Play,PS2,Misc,Sony Computer Entertainment
272,Uncharted 4: A Thief's End,PS4,Shooter,Sony Computer Entertainment
273,Gran Turismo 5 Prologue,PS3,Racing,Sony Computer Entertainment
274,Assassin's Creed: Revelations,X360,Action,Ubisoft
275,Street Fighter IV,PS3,Fighting,Capcom
276,FIFA 12,X360,Sports,Electronic Arts
277,Teenage Mutant Ninja Turtles,NES,Action,Palcom
278,Excitebike,NES,Racing,Nintendo
279,Frogger,PS,Action,Hasbro Interactive
280,Madden NFL 2003,PS2,Sports,Electronic Arts
281,Watch Dogs,PS4,Action,Ubisoft
282,Half-Life,PC,Shooter,Vivendi Games
283,Super Mario World 2: Yoshi's Island,SNES,Platform,Nintendo
284,FIFA Soccer 07,PS2,Sports,Electronic Arts
285,The Legend of Zelda: Skyward Sword,Wii,Action,Nintendo
286,Street Fighter II Turbo,SNES,Fighting,Capcom
287,Carnival Games,Wii,Misc,Take-Two Interactive
288,Fallout 4,XOne,Role-Playing,Bethesda Softworks
289,World of Warcraft: The Burning Crusade,PC,Role-Playing,Activision
290,Fallout: New Vegas,X360,Role-Playing,Bethesda Softworks
291,God of War II,PS2,Action,Sony Computer Entertainment
292,Forza Motorsport 2,X360,Racing,Microsoft Game Studios
293,World Soccer Winning Eleven 9,PS2,Sports,Konami Digital Entertainment
294,Namco Museum Vol.3,PS,Misc,Sony Computer Entertainment
295,Tekken Tag Tournament,PS2,Fighting,Namco Bandai Games
296,Far Cry 4,PS4,Shooter,Ubisoft
297,Star Fox 64,N64,Shooter,Nintendo
298,Minecraft,PS4,Misc,Sony Computer Entertainment Europe
299,Golf,NES,Sports,Nintendo
300,Fallout 3,PS3,Role-Playing,Bethesda Softworks
301,Professor Layton and the Diabolical Box,DS,Puzzle,Nintendo
302,Left 4 Dead 2,X360,Shooter,Electronic Arts
303,Namco Museum: 50th Anniversary,PS2,Misc,Namco Bandai Games
304,EA Sports Active,Wii,Sports,Electronic Arts
305,Assassin's Creed: Unity,PS4,Action,Ubisoft
306,Donkey Kong Land,GB,Platform,Nintendo
307,Tony Hawk's Underground,PS2,Sports,Activision
308,Assassin's Creed IV: Black Flag,PS3,Action,Ubisoft
309,Monster Hunter 4 Ultimate,3DS,Role-Playing,Nintendo
310,MotorStorm,PS3,Racing,Sony Computer Entertainment
311,The Elder Scrolls V: Skyrim,PC,Role-Playing,Bethesda Softworks
312,Tekken 5,PS2,Fighting,Namco Bandai Games
313,Dragon Warrior III,NES,Role-Playing,Enix Corporation
314,Sports Champions,PS3,Sports,Sony Computer Entertainment
315,NBA 2K16,PS4,Sports,Take-Two Interactive
316,World Soccer Winning Eleven 8 International,PS2,Sports,Konami Digital Entertainment
317,Flash Focus: Vision Training in Minutes a Day,DS,Misc,Nintendo
318,Namco Museum Vol.1,PS,Misc,Sony Computer Entertainment
319,The Legend of Zelda: Link's Awakening,GB,Action,Nintendo
320,Mario & Luigi: Bowser's Inside Story,DS,Role-Playing,Nintendo
321,Big Brain Academy: Wii Degree,Wii,Misc,Nintendo
322,Nintendogs + cats,3DS,Simulation,Nintendo
323,Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive Entertainment
324,Mario & Sonic at the London 2012 Olympic Games,Wii,Sports,Sega
325,LEGO Indiana Jones: The Original Adventures,X360,Action,Activision
326,Resident Evil Director's Cut,PS,Action,Virgin Interactive
327,Ratchet & Clank: Size Matters,PSP,Platform,Sony Computer Entertainment
328,Just Dance 2014,Wii,Misc,Ubisoft
329,The Sims: Unleashed,PC,Simulation,Electronic Arts
330,Super Paper Mario,Wii,Platform,Nintendo
331,Harry Potter and the Sorcerer's Stone,PS,Action,Electronic Arts
332,The Witcher 3: Wild Hunt,PS4,Role-Playing,Namco Bandai Games
333,Resident Evil 3: Nemesis,PS,Action,Eidos Interactive
334,Spyro: Year of the Dragon,PS,Platform,Sony Computer Entertainment
335,FIFA Soccer 2005,PS2,Sports,Electronic Arts
336,Pokémon Trading Card Game,GB,Strategy,Nintendo
337,Battlefield 4,PS3,Shooter,Electronic Arts
338,MySims,DS,Simulation,Electronic Arts
339,Friend Collection,DS,Misc,Nintendo
340,Tony Hawk's Pro Skater 4,PS2,Sports,Activision
341,Midnight Club 3: DUB Edition,PSP,Racing,Take-Two Interactive
342,Banjo-Kazooie,N64,Platform,Nintendo
343,SOCOM: U.S. Navy SEALs,PS2,Shooter,Sony Computer Entertainment
344,Guitar Hero: World Tour,Wii,Misc,Activision
345,Gran Turismo 6,PS3,Racing,Sony Computer Entertainment
346,Jak and Daxter: The Precursor Legacy,PS2,Platform,Sony Computer Entertainment
347,Pokemon Snap,N64,Simulation,Nintendo
348,FIFA Soccer 10,PS3,Sports,Electronic Arts
349,Pro Evolution Soccer 2008,PS2,Sports,Konami Digital Entertainment
350,Call of Duty: Ghosts,PS4,Shooter,Activision
351,Resident Evil 4,PS2,Action,Capcom
352,Tom Clancy's The Division,PS4,Shooter,Ubisoft
353,Star Wars: Battlefront,PS2,Shooter,LucasArts
354,Doom II: Hell on Earth,PC,Shooter,Virgin Interactive
355,The Simpsons: Road Rage,PS2,Racing,Electronic Arts
356,Cooking Mama 2: Dinner With Friends,DS,Simulation,505 Games
357,Luigi's Mansion,GC,Action,Nintendo
358,Star Wars: Battlefront II,PS2,Shooter,LucasArts
359,WWF SmackDown!,PS,Fighting,THQ
360,Croc: Legend of the Gobbos,PS,Platform,Fox Interactive
361,Grand Theft Auto: Liberty City Stories,PS2,Action,Take-Two Interactive
362,The Getaway,PS2,Action,Sony Computer Entertainment
363,Tomb Raider III: Adventures of Lara Croft,PS,Action,Eidos Interactive
364,James Bond 007: Agent Under Fire,PS2,Shooter,Electronic Arts
365,LEGO Star Wars: The Video Game,PS2,Action,Eidos Interactive
366,Battlefield 4,X360,Shooter,Electronic Arts
367,FIFA Soccer 11,X360,Sports,Electronic Arts
368,Rugrats in Paris: The Movie,PS,Action,THQ
369,Spyro 2: Ripto's Rage!,PS,Platform,Sony Computer Entertainment
370,Left 4 Dead,X360,Shooter,Electronic Arts
371,Mario & Sonic at the Olympic Winter Games,DS,Sports,Sega
372,Resident Evil 5,X360,Action,Capcom
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,Platform,Nintendo
374,Assassin's Creed: Brotherhood,X360,Action,Ubisoft
375,Kung Fu,NES,Action,Nintendo
376,Batman: Arkham Asylum,X360,Action,Eidos Interactive
377,Clubhouse Games,DS,Misc,Nintendo
378,FIFA Soccer 2004,PS2,Sports,Electronic Arts
379,Star Wars Battlefront (2015),XOne,Shooter,Electronic Arts
380,Battlefield: Bad Company 2,X360,Shooter,Electronic Arts
381,Guitar Hero: On Tour,DS,Misc,Activision
382,Assassin's Creed: Unity,XOne,Action,Ubisoft
383,Far Cry 3,PS3,Shooter,Ubisoft
384,Monster Hunter 4,3DS,Role-Playing,Capcom
385,Borderlands,X360,Shooter,Take-Two Interactive
386,Tekken 4,PS2,Fighting,Namco Bandai Games
387,Battlefield 4,PS4,Shooter,Electronic Arts
388,LittleBigPlanet 2,PS3,Platform,Sony Computer Entertainment
389,Grand Theft Auto 2,PS,Action,Take-Two Interactive
390,Final Fantasy III,SNES,Role-Playing,SquareSoft
391,Spider-Man 2,PS2,Action,Activision
392,F-1 Race,GB,Racing,Nintendo
393,FIFA Soccer 2003,PS2,Sports,Electronic Arts
394,Crash Bash,PS,Misc,Sony Computer Entertainment
395,LEGO Batman: The Videogame,X360,Action,Warner Bros. Interactive Entertainment
396,Metal Gear Solid V: The Phantom Pain,PS4,Action,Konami Digital Entertainment
397,The Legend of Zelda: Spirit Tracks,DS,Action,Nintendo
398,WWF War Zone,PS,Fighting,Acclaim Entertainment
399,The Legend of Zelda: Majora's Mask,N64,Action,Nintendo
400,Professor Layton and the Unwound Future,DS,Puzzle,Nintendo
401,Rugrats: Search For Reptar,PS,Adventure,THQ
402,Assassin's Creed IV: Black Flag,X360,Action,Ubisoft
403,English Training: Have Fun Improving Your Skills!,DS,Misc,Nintendo
404,James Bond 007: Nightfire,PS2,Shooter,Electronic Arts
405,Ratchet & Clank,PS2,Platform,Sony Computer Entertainment
406,Mario Party 9,Wii,Misc,Nintendo
407,Star Wars Episode III: Revenge of the Sith,PS2,Action,LucasArts
408,Max Payne,PS2,Shooter,Take-Two Interactive
409,The Lord of the Rings: The Return of the King,PS2,Action,Electronic Arts
410,Assassin's Creed Syndicate,PS4,Action,Ubisoft
411,Destiny,XOne,Shooter,Activision
412,True Crime: Streets of LA,PS2,Action,Activision
413,Wii Music,Wii,Misc,Nintendo
414,Gran Turismo (PSP),PSP,Racing,Sony Computer Entertainment
415,Monster Hunter X,3DS,Action,Capcom
416,Tekken,PS,Fighting,Sony Computer Entertainment
417,FIFA 16,XOne,Sports,Electronic Arts
418,L.A. Noire,PS3,Adventure,Take-Two Interactive
419,Madden NFL 16,PS4,Sports,Electronic Arts
420,Yokai Watch 2 Ganso/Honke,3DS,Role-Playing,Nintendo
421,007: Tomorrow Never Dies,PS,Shooter,Electronic Arts
422,Baseball,NES,Sports,Nintendo
423,Killer Instinct,SNES,Fighting,Nintendo
424,WWF SmackDown! 2: Know Your Role,PS,Fighting,THQ
425,Crisis Core: Final Fantasy VII,PSP,Role-Playing,Square Enix
426,God of War: Chains of Olympus,PSP,Action,Sony Computer Entertainment
427,Dragon Quest VI: Maboroshi no Daichi,SNES,Role-Playing,Enix Corporation
428,Dance Central,X360,Misc,MTV Games
429,Enter the Matrix,PS2,Action,Atari
430,Super Mario Maker,WiiU,Platform,Nintendo
431,Fallout: New Vegas,PS3,Role-Playing,Bethesda Softworks
432,LEGO Batman: The Videogame,Wii,Action,Warner Bros. Interactive Entertainment
433,Rhythm Heaven,DS,Misc,Nintendo
434,Ace Combat 04: Shattered Skies,PS2,Simulation,Sony Computer Entertainment Europe
435,Club Penguin: Elite Penguin Force,DS,Adventure,Disney Interactive Studios
436,Animal Crossing,GC,Simulation,Nintendo
437,LEGO Batman: The Videogame,DS,Action,Warner Bros. Interactive Entertainment
438,Sonic Rush,DS,Platform,Sega
439,Resident Evil 6,PS3,Shooter,Capcom
440,Halo: The Master Chief Collection,XOne,Shooter,Microsoft Game Studios
441,FIFA Soccer 08,PS2,Sports,Electronic Arts
442,Spider-Man,PS,Action,Activision
443,Need for Speed III: Hot Pursuit,PS,Racing,Electronic Arts
444,Star Wars Episode I Racer,N64,Racing,Nintendo
445,Personal Trainer: Cooking,DS,Misc,Nintendo
446,The Elder Scrolls IV: Oblivion,PS3,Role-Playing,Ubisoft
447,Dragon Warrior IV,NES,Role-Playing,Enix Corporation
448,Heavy Rain,PS3,Adventure,Sony Computer Entertainment
449,Mass Effect 2,X360,Role-Playing,Electronic Arts
450,FIFA 15,X360,Sports,Electronic Arts
451,Dragon Ball Z: Budokai,PS2,Fighting,Atari
452,Madden NFL 2002,PS2,Sports,Electronic Arts
453,World Class Track Meet,NES,Sports,Namco Bandai Games
454,Borderlands 2,X360,Shooter,Take-Two Interactive
455,The Legend of Zelda: A Link Between Worlds,3DS,Action,Nintendo
456,Donkey Kong,GB,Platform,Nintendo
457,The Sims: Vacation,PC,Simulation,Electronic Arts
458,Mass Effect 3,X360,Role-Playing,Electronic Arts
459,Kung Fu Panda,X360,Action,Activision
460,Far Cry 3,X360,Shooter,Ubisoft
461,Epic Mickey,Wii,Platform,Disney Interactive Studios
462,Saints Row 2,X360,Action,THQ
463,Rayman,PS,Platform,Ubisoft
464,Killzone 2,PS3,Shooter,Sony Computer Entertainment
465,Tom Clancy's Splinter Cell,XB,Action,Ubisoft
466,Mike Tyson's Punch-Out!!,NES,Fighting,Nintendo
467,WWE SmackDown! Shut Your Mouth,PS2,Sports,THQ
468,Gears of War: Ultimate Edition,XOne,Shooter,Microsoft Game Studios
469,NBA 2K13,X360,Sports,Take-Two Interactive
